,anonymize_text
45,"There was a long pause, and a very significant pause it was. The boys stared at the cap in Step’s hand; then they glanced from one to another. Here and there a head nodded, as if in answer to an unspoken question; but it was left to Poke to break the silence.

“Jupiter crickets! That settles it, I guess. Well, I never have liked NAME, but I didn’t think him up to this sort of thing!”

“Or down to it!” cried NAME.

“Now you’re talking!” chimed in the ORGANIZATION. “Lowest-down trick that ever was!”

“Trick! Huh! Worse than that!” growled Poke. “Why, that rock might have killed one of us!”

The Shark appeared to be estimating the weight of the stone. “Yes; it’s heavy enough,” he said calmly. “If it had struck anybody squarely, the result might have been fatal.”

[147]

There was a wrathful gleam in NAME’s eye. “Where did you find the cap, Step?” he demanded. “Let’s get down to business.”

“It was on the ground, back of the barn—low limb of one of the apple trees must have knocked it off his head. Great luck that I stumbled upon it; and that was just what I did. Too dark to see anything, but my foot caught in something, and I stopped and picked the something up. And here it is!”

Poke was wagging his head in his peculiar fashion. “Fellows, it’s as plain as day. Orkney has been too proud to wear the cap to school, but he didn’t mind putting it on at night, when nobody would notice it. Then he came sneaking around the club-house. The Shark must have had a glimpse of him at the window. When we went out to see who was there, he lay low. As soon as we came back into the house, he let drive the boulder at the first chance, and then bolted for all he was worth. He had such a start that he got away; but he didn’t dare stop to pick up the cap. And now, I say, we have him where we want him.”

“You bet we have!”

[148]

“That’s hitting the nail on the head!”

“Gee! but it was a cowardly job!”

So spoke the Trojan, Step and NAME. Poke warmed to his theme, after the manner of orators, encouraged by applause.

“We’ve got him where we want him, and we’ll put him through the works. I tell you, he’ll be mighty sorry before this thing is ended. Why, he ought to be arrested and sent to jail!”

“H-m-m-m!” It was a murmur tinged with disapproval, which ORGANIZATION did not fail to perceive.

“Wait a minute, fellows!” he said hastily. “I know what you’re thinking, and I guess you’re right. We can take care of this case ourselves. We will, too! If the club can’t defend itself, it ought to go out of business.”

There was another murmur, all approval.

“It may have been Step’s scrap in the beginning, but it’s our scrap now,” Poke went on. “It’s a club affair. That stone was thrown at the bunch—at NAME, for instance, as much as at Step.”

The Shark grunted. “Huh! Be accurate, ORGANIZATION, be accurate! It wasn’t thrown at Step[149] at all. He was out of range—across the room from the rest of us. He wasn’t in sight from the window.”

“Eh? What’s that?”

“It was the fact—come to think of it,” Step himself admitted. “I remember I’d left the crowd.”

“Humph! Don’t see that that makes any difference,” argued ORGANIZATION.

“It doesn’t—in one way,” said the Shark. “In another, it does. It means that the person who chucked that stone wasn’t especially after Step. No doubt he took a good look into the room before he let drive. And, as I recall the position of each of us, NAME stood where he must have been the real bull’s-eye of the target.”

“But what diff——”

The Shark did not let Poke finish the query. “The difference between getting things straight or crooked,” he rapped out. “How can you solve a problem——”

“Oh, hang mathematics!” Poke interrupted, in turn. “Cut ’em out! This isn’t a recitation; it’s a row! Let’s hear what NAME has to say.”

[150]

NAME had been keeping silent, but with growing difficulty. He was, as we know, naturally impulsive, and still a beginner in the practice of the policy of ORGANIZATION. Moreover, he was not a fellow of the sort to make ready excuse for attacks w"
46,"He had cause to repeat the statement in DATE. Things went wrong about the NAME place with peculiar persistence. Valuable young trees were broken down; gates, supposed to be kept closed, were found open; NAME, for whose care NAME was responsible, was missing over night and came limping home in the morning in badly battered condition. And in each instance it appeared to be incumbent upon the son of the house to prove his innocence. It is an old rule of the books[134] that there is much difficulty in establishing a negative proposition. NAME’s patience was sorely tried, but he kept his wits about him, remembered the demands of his situation, and did his best to win confidence by deserving it.

He had his suspicions, of course, that there was something more than mere coincidence in the succession of troubles. Also he had a theory as to their cause. In amateur fashion he undertook detective work. In other words, so far as he could, he maintained a close, if unobtrusive, watch upon the doings of NAME."
47,"“Link—link in a chain?” Step repeated.

“Just that! A chain of meannesses! Listen!” And NAME went on to describe briefly, but forcefully, the persecution to which he believed he had been subjected. “And now we’ve had the stoning,” he added. “There is one explanation, and only one. NAME has dropped Step and taken me on. He hates me more for interfering than he hates Step for squabbling with him. And just as that’s the only explanation, there’s just one way to handle the case—and that’s for me to settle with NAME. And I will—don’t you worry!”

None of his hearers took his words lightly. All were ready to consider them very gravely. Here, indeed, was an issue for a youthful court of honor; and it behooves such courts, young or old, to pass judgment in all solemnity.

“Well, I guess you’re entitled,” said Poke slowly.

The others, with one exception, nodded assent. The NAME looked unconvinced.

“Talking about chains,” he remarked, “you mustn’t forget the old rule: the chain’s no stronger than its weakest link. And there is[152] a link that may be weak. I don’t say it is, but I do say it may be.”

“Rats!” snapped Step.

The Shark wheeled to face him. “Rats nothing! What’s the record—the school record—for the shot put?”

“What are you talking about?”

“The record. What is it?”

“Oh, thirty or thirty-five feet for the twelve-pound shot.”

The Shark frowned. “Confound it! but can’t you chaps make anything exact? ‘Thirty or thirty-five feet’! How’s anybody to make computations with all unknown quantities?”

“What are you trying to compute?”

The NAME juggled the stone, which he still held. “NAME! This weighs more than twelve pounds, I’ll bet—may run up to fifteen,” said he. “But what am I figuring on? Why, the amount of force required to send it through the arc this stone described.”

“Twelve to fifteen pounds!” jeered Step. “Seems to me you’re furnishing some of the unknown quantities yourself.”

[153]

“I am,” said the Shark. “I admit it. I also admit that I can’t reach satisfactory results from such data. But the results I do get—subject to revision, of course—make me doubt that NAME could have done the job. When I have the stone weighed, and when I measure the distance across the room, and add a good estimate of the distance the thrower stood from the window, I believe I can plot a curve——”

A chorus of shouts interrupted him. The non-mathematical members of the club would have none of such follies. Evidence? Wasn’t the cap evidence enough to convict Orkney?

Stoutly the Shark maintained that one should not put too great faith in circumstantial evidence.

“What! You’d put more in your old curves and calculations?” cried Step.

“Every time!” vowed the Shark.

NAME cut short the discussion. “Look here, fellows!” he said sharply. “I’m going to thrash Orkney, and there’s no more to be said about it.”

“Well, thrash ahead!” growled the Shark. “I don’t object to ORGANIZATION but I am pointing out that you may be wrong as to your reason for thrashing him.”

“I’ll risk that!” cried NAME hotly. “And I’ll even the score at the first chance I get.”

This decision, warmly admired and praised by the club, seemed to be in a fair way for accomplishment on DATE when NAME, walking alone to school, met Orkney at a street corner.

Meditation had cooled his anger, but had not lessened his determination to have a speedy accounting. He put himself in Orkney’s path, and gave him monosyllabic greeting.

“Huh!” It must be confessed that there was a distinctly challenging note in NAME’s growl.

“Huh!” responded Orkney. In fairness it is to be stated that he betrayed no sign of anxiety; and instead of halting, stepped aside and passed the boy holding the center of the walk.

NAME turned, and overtook him in three long strides. Then they moved on together, but with a space of three or four feet between them.

[155]

"
48,"The frown vanished. “Exactly!” said[114] Poke. “So, if we teach that dog to let feathers alone, he won’t bother many chickens—see?”

Step’s manner was slightly skeptical. “Oh, that’s easy to talk about, but, practically, how are you going——”

Poke didn’t let him finish the sentence. “Ever smell burning feathers? Well, I guess you have, all right! And don’t you think that if we tie a pail to his collar, and there are some burning feathers in the pail, Mr. NAME get enough of chickens to last him a lifetime?”

Step was a generous fellow; he didn’t grudge a friend a triumph.

“Gee, Poke, but you’re a corker! How’d you ever work that out? But I say! I can improve on the pail. Up in our attic’s one of those queer, old-fashioned lanterns with tin sides punched full of holes—like a colander, you know. And there’s a double chain to it—guess they used to hang it up outdoors. And there are snaps on the chain—might have been made for us. Only”—he paused an instant—“only how’re you going to be sure the stuff will burn?”

Poke smiled the smile of easy NAME] “Don’t you worry! A few rags soaked in kerosene, and stuffed in with the feathers will take care of that, all right!”

From this discussion and activities which followed, it happened that when NAME turned a corner near Mr. NAME’s gate he came upon his two chums engaged in friendly overtures to a large and somewhat suspicious dog. Poke, as he saw, had a tempting bit of meat, while Step held behind him a rusty contrivance of tin, from which loops of still more rusty chain depended.

“Halloo! What’s up?” NAME demanded curiously.

“Oh, first class in dog manners—that’s all,” responded Step lightly.

Poke whistled softly, and held the meat nearer the dog, which took a step forward, halted, eyed the tidbit greedily.

NAME, far from clear as to what was afoot and inclined to caution not only by his new resolves but also by acquaintance with other ventures of his friends, watched the proceedings dubiously.

“I don’t yet grasp what’s the game,” he remarked.

[116]

Poke was lavishing blandishments upon the dog, and extending the bait; so it was left to Step to make explanation."
49,"Subject: NAME
DOB: 12/12/1989

Progress Note: 01/05/2021
Chief Complaint: Follow-up of acute sinusitis

Assessment: NAME returned for a follow-up visit. She reported improvement in her symptoms, with less headache and nasal congestion. Vital signs are within normal limits.

Plan: Continue current medications, advise rest and hydration, and schedule a follow-up visit in DATE.

"
50,"Subject: NAME: 01/01/1988

Progress Note: 01/05/2021
Chief Complaint: Follow-up of acute gastritis

Assessment: NAME returned for a follow-up visit. He reported improvement in his symptoms, with no more abdominal pain or nausea. Vital signs are within normal limits.

Plan: Continue current medications, advise a bland diet, and schedule a follow-up visit in DATE.

"
51,"Subject: NAME: 01/01/1988

Progress Note: 01/05/2021
Chief Complaint: Follow-up of acute gastritis

Assessment: NAME returned for a follow-up visit. He reported improvement in his symptoms, with no more abdominal pain or nausea. Vital signs are within normal limits.

Plan: Continue current medications, advise a bland diet, and schedule a follow-up visit in DATE.

"
52,"Progress Note 5:

Patient Name: NAME: DATE
Time: 1:00 PM

Subjective:
NAME reports feeling persistent headaches and neck pain. No changes in appetite or sleep patterns reported.

Objective:
Vitals: BP: 124/78 mmHg, HR: 72 bpm, RR: 16 breaths/min
Physical examination: Mild tenderness observed in neck and head

Assessment:
Possible symptoms of tension headache or neck pain

Plan:

Prescribe pain medication for symptom relief
Schedule a follow-up appointment in DATE
Advise to practice good posture and avoid prolonged sitting
Consider referral to physical therapist for evaluation and treatment


"
53,"Memory of the successful raid by Mr. NAME’s big hound and its unhappy results rankled in the breasts of Poke and Step.

It was one thing, they agreed, to be joint victims of hard luck; but it was quite another thing—and a deal harder to endure—to behold the author of their misfortunes jogging about the streets, wholly unpunished for his misdeeds. Step even had a gloomy notion that the dog was plumper than usual, which, if well founded, was higher tribute to the nourishing qualities of the looted chicken than to the prevalence of even-handed justice, to Step’s way of thinking. This view, confided to ORGANIZATION, met ready acceptance.

“Sure thing! And there ought to be something we could do about it,” observed Poke.

“Oh, I’ll find a way to get even,” Step declared.

“How?”

[112]

“Oh, you wait, and you’ll see,” said Step darkly.

Poke, as has been related, had leanings toward philosophy. Now he meditated briefly.

“See here, Step!” he said. “If you’re going to get at this thing, you’d better get at it right. You ought to teach him a lesson.”

“That’s just what I’ll do!”

Poke shook his head. “No; you don’t get me. You’re thinking of letting drive a stone at him, or giving him a whipping, but what’d be the use? He wouldn’t know why you did it.”

“Huh! Guess he would,” growled Step.

“He wouldn’t,” Poke insisted. “That is, he wouldn’t unless you schemed out a way to remind him of the stolen rooster. There’s got to be something to make him see there’s a connection—get me?”

Step sniffed contemptuously. “What you want me to do? Make him a speech or send him a letter about it?”

“Neither,” quoth Poke calmly. “But unless you make him understand that he’s being punished for stealing, he’ll think you’re thrashing him out of pure meanness.”

[113]

Step rubbed his chin. “I suppose that’s so,” he admitted. “But how can you work it? How can you make him understand? I’m weak on dog-lingo, myself.”

Poke smiled, a little pityingly. “Listen, and I’ll tell you something I read DATE. There was a chap who owned a dog, and he was a bully dog, except that he would steal chickens. So the man tied a dead hen to his collar, and left it there till—well, till that dog didn’t want ever to see another one or get anywhere near it. And that’s my idea—something like it, anyway—for teaching the hound a lesson.”

Step began to take interest. “Gee, but you have got an idea there! Only, if there’s anything left of the chicken he stole, we don’t know where to find it. And——”

“Don’t need to!” Poke broke in. “Look here now! Say you’re dealing with chickens. What do you come to first?”

“Hen-house,” said Step promptly.

Poke frowned. “No, no! Wake up! You come first to the feathers.”

“Oh, that way? Yes!”"
54,"Orkney gazed straight before him. The sullenness of his expression may have been a trifle more marked than usual. NAME, studying him from the corner of an eye, decided that his enemy was merely playing a waiting game.

There was a moment’s silence. Then said NAME, very grimly:

“This thing has got to stop—see?”

The tone was more impressive than the words. Orkney stopped, and inspected the other coolly.

“Has, eh? Well, what might ‘this thing’ be?” he inquired.

“You know well enough!”

“Guess again. I don’t.”

“You do.”

A dull red showed in Orkney’s cheeks. “That’s the same thing as telling me I don’t tell the truth.”

“Does sound like it.”

“Mean to call me a liar?”

“Yes—if you say you don’t know.”

Orkney’s fists clenched; but NAME, warily watching, saw that the enemy kept himself in hand.

[156]

Again there was a pause. NAME broke it:

“There’s no use in your trying to put up a bluff. It won’t go. You understand perfectly what I mean.”"
55,"It was DATE evening, and ORGANIZATION was in full session. NAME, Step and Poke were gossiping about school affairs, and with them was NAME, a new member and a brother junior. NAME and NAME, otherwise known as “Trojan,” a recently admitted classmate, were playing checkers in a corner.

The Shark, who was human enough to have his little affectations, pretended to care not at all for the game, holding it to be a poor and trifling substitute for chess; but it was to be observed that he was doing his best to win. Moreover, when he did win, he chuckled gleefully.

“Hew-ee! You ought to have known that last move was coming,” he told his opponent. “But you gave me the opening, and then I had you.”

NAME laughed. “I’d have NAME] all about it if I could see around two corners at once as you do. Never mind, though! I’ll win yet. Set up your men, NAME.”

Poke strolled over to the players while they were ranging their pieces.

“Fellow who wears glasses like the NAME’s ought to be able to see everything,” he remarked idly. “All the same, NAME, you’ll notice he isn’t making out much about Orkney’s schemes.”

“Humph! What can NAME do?” objected NAME. “That row of his with Step is ancient history.”

“Sure! And the time for a come-back was right after the row,” chimed in NAME.

Poke wagged his head sagaciously. “Don’t fool yourselves!” said he. “Orkney is a sticker. He’s got it in for Step, and for NAME, for that matter. We haven’t had the last of the business, not by a long shot.”

“Hear that, eh, NAME?” asked NAME.

NAME rose from his chair, and crossed to the checker players’ corner.

“I heard it,” said he.

“Well, do you agree?”

“Yes,” said NAME brusquely.

[137]

For a moment nobody spoke. All his friends realized that he was taking the matter seriously.

“Why—why—you must have some reason, of course?” NAME ventured.

NAME hesitated. “Maybe it’s more hunch than reason.”

“But what gave you the hunch?”

“Oh, one thing and then another.”

“Huh! That sounds like some of my answers in history!” quoth Poke. “It’s specially like those I make when I’m meeting a total stranger of a question, and trying to be polite, if not communicative.”

The Shark wriggled in his chair; he was growing impatient to resume play.

“Your move, NAME!” he snapped.

“Wait a minute!” said his opponent. “NAME’s going to elucidate.”

“Well, things have happened and kept on happening,” NAME began; “things that can’t be explained exceptNAMEBut I say, NAME! What on earth’s the matter?”

NAME, who had turned from the table in disgust at the delay, of a sudden had uttered an exclamation and started to his feet.

[138]

“Speak out! What is it?” NAME demanded.

The Shark pulled off his spectacles; held the lenses to the light; inspected them closely; shook his head.

“No; they’re not clouded,” said he, half to himself. “Very curious, I do declare!”

“What’s curious? And what are you driving at?”

“Of course, it might have been a tricky reflection,” mused the Shark. “Or, maybe, it was just an optical illusion.”

NAME caught him by both shoulders. “Wake up! What are you talking about?”

“Then, again, the doctor tells me eye-strain works queerly sometimes"
56,"“Well, this world does see a heap of entertainin’ things, comin’ and goin’,” he observed. “Good scheme, too—keeps folks from ORGANIZATION’ and gettin’ as dull as ditch water. ORGANIZATION’s perkin’ up a lot because of the Major and his unknown party o’ the second part, as we’d be sayin’ if you and me was lawyers.”

Here Lon spoke within the truth. The town was making a DATE’ wonder of the affair; and what the town talked, the school talked, and the club.

NAME, so far as he could, kept out of the discussions; permitted his chums to speculate as they pleased; and watched and waited for the interest in the matter to wear itself out.

Oddly enough, NAME appeared to be following the same policy. He was about town as usual, doing odd jobs when work was unavoidable. No improvement was reported in his habits, but even in his cups his tongue was not loosed, so far as his feud with Major NAME and its recent development were concerned. He grumbled and made threats, to be sure, but he had been grumbling and threatening people for DATE; and from his incoherent[128] growls his cronies gained no information. If he had an inkling of the secret of ORGANIZATION woods, he was keeping it to himself.

Step’s quarrel with NAME seemed to have led to nothing, even in the way of reprisals. There was no second demand upon ORGANIZATION to recover the cap, nor was there formal notice that he should repay the owner for the seized property. In debates at the club the probability of the latter course had been stoutly upheld by ORGANIZATION, who developed such concern in the outcome that he made a searching expedition, from which he bore back tidings that the cap was not to be found where it had fallen. Step insisted this merely went to show that Orkney, when the coast was clear, had returned to the scene and regained possession of the cap, thus avoiding loss and “saving face.”

“But he’s wearing another bonnet,” Poke pointed out.

“Oh, that’s because he’s too stuffy to admit the truth,” Step declared. “He’s as stubborn as a mule—that’s the whole case in a nutshell.”

The club agreed with this opinion of Orkney[129] more heartily than it endorsed Step’s performance, which was held to be juvenile, albeit not without provocation. NAME’s interference was accepted with respect rather than warm approval. As Poke put it, somebody, sooner or later, would have to thrash Orkney; and Step might as well have tried his hand. Whereat the Shark spoke up from his corner.

“Say, that’s nice doctrine to be preaching at ORGANIZATION!”"
57,"“I don’t intend to entertain ORGANIZATION in a body.”

Step’s expression was bewildered. “Say—say, you ain’t crawling, are you?” he queried.

The suspicion stung NAME’s pride. “Crawling? Not on your life! I’m looking for NAME, and when I find him I’ll ask him to[169] walk back in the woods with me—he’ll know what for. And you can come along, and one or two of the others, but——”

The cloud vanished from Step’s brow. “Oh, that’s all right!” he said heartily. “Can’t have a mob trailing along, of course. But I say! There’s Orkney now—just shooting out from behind the point. He’s chasing one of the kids.”

NAME’s glance followed the direction of ORGANIZATION’s extended arm.

“Yes, that’s Orkney, fast enough. But what’s he doing?”

“Pestering the youngster!” snapped Step. “Can’t you see? And I declare, if it isn’t Little Perrine he’s worrying!”

NAME watched the swiftly moving figures, one short and slender, the other tall and stout. NAME, barely in the lead, seemed to be hard pressed, for he dodged frequently without being able to throw off his pursuer.

Suddenly Step cried out sharply: “The miserable bully! Look, NAME! he’s driving the kid right down to the dam, where the ice won’t hold him for a minute!”

“Confound it all!” fumed NAME. “Why[170] won’t people think of Safety First? Why won’t——”

There he broke off, aghast at the catastrophe he beheld, but Step’s voice rose shrilly:

“Great Scott! it’s happened! They’re in—both in!”

With appalling swiftness the ice had yielded beneath the weight of the two, and NAME, vanishing as if through a trap-door in a stage, had been followed almost instantly by Orkney.

Step started to the rescue, striking out wildly and shouting as he raced down the pond at top speed. NAME, about to join in the dash, checked himself. He knew well enough how the thin ice near the dam, once broken, would crack and crumble under even slight pressure. “Safety First!” was the thought which flashed upon his brain; safety not so much for himself as for the pair struggling in the wat"
58,"Subject: NAME: 11/11/1990

Progress Note: 01/05/2021
Chief Complaint: Follow-up of acute otitis media

Assessment: NAME returned for a follow-up visit. He reported improvement in his symptoms, with no more ear pain or hearing loss. Vital signs are within normal limits.

Plan: Discontinue current medications, advise warm compresses, and schedule a follow-up visit in DATE."
59,"Subject: NAME: 02/02/1987

Progress Note: 01/05/2021
Chief Complaint: Follow-up of acute bronchial asthma

Assessment: NAME returned for a follow-up visit. She reported improvement in her symptoms, with less wheezing and shortness of breath. Vital signs are within normal limits.

Plan: Continue current medications, advise rest and hydration, and schedule a follow-up visit in DATE.



"
60,"Almost every town has the misfortune to include among its residents a few persons perhaps best described as “undesirable citizens.” In the case of ORGANIZATION by far the most undesirable of these was NAME, ORGANIZATION, sot, brawler, and petty thief. On several occasions vigorous efforts had been made to rid the community of his presence; but NAME, unchastened by thrashings or jail sentences for robbing hen roosts or clothes-lines, persisted in turning up like the worst of bad pennies. There was, therefore, general satisfaction in the town when news spread that, at last, he had been caught in an offense so serious that ORGANIZATION reasonably could hope to be relieved of him for a term of DATE; especially as the irascible, determined and energetic Major NAME was directly interested in his prosecution.

Mr. NAME, returning from his trip to[62] Epworth, heard the news down-town, and brought it home with him. Across the supper table he discussed the matter with his wife, and found her quite of his opinion that a shining example should be made of NAME. The topic, in fact, fairly shared their attention with the annoying absence of the son of the house. NAME had not been home for dinner, Mrs. NAME announced; and now he appeared to have forgotten the supper hour.

“I don’t know what has come over the boy,” she said. “He went out right after breakfast, and nobody but NAME has seen him since. She says he came in about two o’clock and had lunch; and then went out again. I think you’d better talk to him seriously. He doesn’t understand how important it is to a growing boy to have his meals regularly.”

“Very well; I’ll take him in hand,” said the father.

Mrs. NAME gave a little sigh. “Ah! I feel, sometimes, as if NAME were growing away from me. He’s getting to be such a big fellow, you know. Now and then I can’t but[63] have my doubts that I’m capable of managing him.”

“Still, you’ve done very well so far,” her husband assured her. “NAME’s a pretty good boy, as boys go. I don’t happen to think of any other youngster for whom I’d care to exchange him. But if he’s getting beyond you—well, I’ll try my luck. Only”—he hesitated—“only, when I do, perhaps you’d better make it a strictly masculine session. I may have to lay down some rather rigid rules, and—well, it will be just as well not to have an over-merciful court of appeal too conveniently at hand. Send him to me when he comes in, and NAME and I will reach an understanding.”

So they arranged it; and so it came to pass that when NAME walked into the library—the clocks were striking eight as he entered—his mother, after gently chiding him for his tardiness, slipped out. The shaded light, by which his father was reading, left the ends of the room in shadow, and NAME lingered for a moment by the door. At last he came forward, halting directly in front of his father.

Mr. NAME looked up. “Well, young[64] man——” he began, but suddenly his tone changed sharply. “What in the world have you been doing, NAME? You look as if you’d been dragged through a knot-hole!”

NAME’s wan smile was more eloquent than his speech. “I shouldn’t wonder if I did, sir. I’ve been walking around and—and thinking.”

“Where have you been walking?”

“Around town, sir—up and down the streets—anywhere.”

“Thinking all the while?”

“Yes, sir; thinking hard.”

“Been alone?”

“All alone.”

“Umph!” said Mr. NAME.

NAME licked dry lips. “I’ve been thinking, and I’ve thought it out,—what I ought to do, sir. And—and I’m here to make a clean breast of things.”

The father studied the boy’s face for a moment. “NAME,” he said slowly, “NAME, I can see that you’re greatly exercised about something or other. What it is I don’t know. I had intended to have you on the carpet for being late for dinner and supper, but I’m[65] afraid this is something more serious. But whatever it is, I hope you’ll do just what you say you wish to do—make a clean breast of it.”

“And face the music!” There was a new note in the boy’s voice, a firmer note.

“That’s part of the game of life, NAME—if you play the game fairly and squarely.”

NAME drew a long breath, and made his plunge. “Father, you’ve heard about the arrest of NAME? They say he shot at Major NAME. Well, he didn’t—but I did!”

Mr. NAME bent forward; he was looking into the boy’s eyes, and the boy did not quail under his scrutiny.

“I don’t ask you if you’re in earnest, NAME. I know that you are. Go on!”

“I took your gun this morning, and went out to the Marlow woods. I’d been told there were deer there. I was crouching under some bushes, and looking across a hollow, when I saw something dark on the other side. It moved, and I fired. Then a man’s head showed. I didn’t recognize him. I was so scared that I burrowed deeper in the bushes—hid for a while, sir. Then I realized I ought to do something. So I crossed the hollow. I[66] found blood spots, but the man had gone away. It seemed as if he couldn’t have been badly hurt. Then I came home. I hoped I wouldn’t have to tell anybody, but—but now they’ve locked up NAME for what I did.”

“When did you learn of the arrest?”

“This afternoon.”

“And since then?”

“I’ve been thinking it over—fighting it out with myself, sir.”

Mr. NAME rose and crossed the room. He picked up the gun, threw open the breach, peered into the barrels.

“You fired only once?”

“Only once, sir. Here’s the empty cartridge.” NAME took the shell from his pocket.

Mr. NAME put the gun in its place, and went back to his chair. There was a little pause; then said he:

“You had your mother’s permission, did you, to take that gun?”

“No, sir,” said NAME.

“Or to go hunting?”

“No, sir.”

“Did you seek it?”

[67]

NAME shook his head. “She was out, and I—well, I didn’t wait for her to come home.”

“I see. By the way, were you under an impression that I had ever authorized such an expedition?”

“No, sir,” said NAME frankly. “But, then, you’d never forbidden it,” he added.

“There are several things it has never occurred to me to forbid you to do,” said his father drily.

NAME nodded. “That’s so, sir. I don’t think much of the excuse.”

“There we are of a mind. So you must have realized that you were doing wrong.”

“I didn’t bother—think, I mean—about that part of it; that is, I didn’t seem to comprehend how wrong the thing might be. Of course, I understood that it wasn’t exactly—exactly proper.” NAME had difficulty in picking the word, and did not appear to be over-pleased with his choice.

“Go on,” said his father. “Tell me just what you did when you reached the Marlow woods.”

NAME obeyed. Very carefully he went over the incidents of the morning. He ORGANIZATION] his cautious advance through the thick growth, his ascent of the first ridge, his discovery of the dark object across the ravine. In detail he explained how he had conquered his attack of “buck fever”; how he had taken aim and fired; how he had been overcome by consternation when the head of a man appeared. He did not deny that he had been slow in crossing the gully. In fact, he made no attempt to present his case in a more favorable light than it deserved.

Mr. NAME did not interrupt the story.

“NAME,” he said, at its close, “this is an extraordinary yarn of yours. It is borne out in part by the empty cartridge shell. I can see, too, that one barrel of the gun has been discharged. Also I am fully convinced that you have tried to present the exact truth about the shooting. I shall assume that the facts are as you have stated them. I don’t need to add that they make the case very serious.”

“I—I’m afraid it is, sir.”

“Yet you haven’t hesitated to make confession?”

NAME moved uneasily. “I—I—oh, but I did hesitate, sir. It was a hard pull to bring myself[69] up to the point. I guess I walked miles and miles before I was ready to come back and tell you everything.”

“I wonder,” said Mr. NAME meditatively, “I wonder if it occurred to you that you might run away from all the trouble.”

The boy reddened. “It did occur to me, sir. And—you may think it a funny way to put it, but it’s true—my legs just seemed to be determined to carry me down to the railroad station. And they did! I was there a long time, looking at time-tables.”

“But finally they lost interest?”

“Yes, sir. I’d reasoned it out that there could be no use in bolting; it wouldn’t help anybody.”

“It very seldom does help anybody, NAME.”

“I guess that’s so, sir.”

There was a long pause, which Mr. NAME ended.

“NAME, we’ve got to consider the next step—no doubt you have considered it; for it necessarily follows your statement. You’ve declared your faith, so to speak; now you’ve got to supplement faith with works.”

The boy nodded. “I know, sir. They’ve[70] locked up NAME. We—I, that is—have got to get him out; for he’s innocent.”

“Precisely.”

NAME could not repress a shudder. “He’s in the police station for something I did. When they release him, I suppose I’ll have to take his place. I don’t know much about law, but that would seem to be—er—er—to be——”

“Essential justice?” queried his father.

“That—that’s my idea, sir.”

“I see. But how do you plan to bring it about?”

Sam squared his shoulders. “By going down to the station and telling the officers what I’ve told you—everything. Then they’ll have to let NAME go. And they—they can keep me.”

“That would be a simple method; but there may be a better one—not so direct, but probably more effective.”

NAME stared at his father. “More effective?” he repeated.

“Yes. The officers might be slow to act. You have to remember that they think the case against NAME is pretty strong.”

“But they’d have to believe me,” NAME urged.

[71]

“Not so fast, son! Don’t forget that there is a good deal of circumstantial evidence against NAME. Your story would certainly create a doubt—and a strong doubt—in his favor; but with his reputation for evil doing, they would be reluctant to let him go and risk making a mistake. No; there is a surer way to achieve the result.”

“And that is——?”

“To go straight to Major NAME and give him your version.”

“Oh!” gasped NAME, and blanched at thought of confronting the redoubtable Major, by long odds the most terrifying, overbearing and truculent person in all ORGANIZATION. “Oh, I—I’d rather not, Father! They can put me in a cell if they want to, but——”

Mr. NAME rose to his feet. “We’ll go to the Major—at once!” he said, with decision."
